HUN,Hungary,2e3,10.21,6.3,51.2279,27.7,01.01.2000
MLT,Malta,2e3,0.39,6.7,4.39488,2.654,01.01.2000
NLD,Netherlands,2e3,15.93,3.7,448.061,232.1,01.01.2000
AUT,Austria,2e3,8.01,3.9,213.1961,140.4,01.01.2000
POL,Poland,2e3,38.26,16.1,186.3774,70.7,01.01.2000
PRT,Portugal,2e3,10.29,5.1,128.4663,64.6,01.01.2000
ROM,Romania,2e3,22.44,7.6,40.7972,7.53,01.01.2000
SVN,Slovenia,2e3,1.99,6.7,21.92347,5.48,01.01.2000
SVK,Slovakia,2e3,5.39,18.9,22.34685,10.75,01.01.2000
FIN,Finland,2e3,5.18,9.8,136.261,57.9,01.01.2000
SWE,Sweden,2e3,8.87,5.6,281.8597,136.7,01.01.2000
GBR,United Kingdom,2e3,58.89,5.4,1773.425,645.9,01.01.2000
BEL,Belgium,2001,10.29,6.6,265.788,286,01.01.2001
BGR,Bulgaria,2001,8.01,19.5,15.78437,10.27,01.01.2001
CZE,Czech Republic,2001,10.22,8.1,75.2214,18.27,01.01.2001
DNK,Denmark,2001,5.36,4.5,184.0464,89.5,01.01.2001
DEU,Germany,2001,82.35,7.8,2179.85,1258.7,01.01.2001
EST,Estonia,2001,1.39,13,6.97637,0.333,01.01.2001
IRL,Ireland,2001,3.87,3.9,121.9406,40.5,01.01.2001
GRC,Greece,2001,10.86,10.7,152.1938,163,01.01.2001
ESP,Spain,2001,40.85,10.6,699.528,378.9,01.01.2001
FRA,France,2001,61.2,7.8,1544.629,897.3,01.01.2001
HRV,Croatia,2001,4.3,16,25.96517,9.64,01.01.2001
ITA,Italy,2001,56.97,9,1298.89,1360.3,01.01.2001
CYP,Cyprus,2001,0.7,3.9,11.60293,6.57,01.01.2001
LVA,Latvia,2001,2.34,13.5,9.3615,1.31,01.01.2001
LTU,Lithuania,2001,3.47,17.4,13.68143,3.19,01.01.2001
LUX,Luxembourg,2001,0.44,1.9,23.77193,1.64,01.01.2001
HUN,Hungary,2001,10.19,5.6,59.9531,32.44,01.01.2001
MLT,Malta,2001,0.39,7.6,4.5411,3,01.01.2001
NLD,Netherlands,2001,16.05,3.1,476.696,234.5,01.01.2001
AUT,Austria,2001,8.04,4,220.0957,146.3,01.01.2001
POL,Poland,2001,38.25,18.3,212.4036,83.3,01.01.2001
PRT,Portugal,2001,10.36,5.1,135.8275,72.6,01.01.2001
ROM,Romania,2001,22.13,7.4,45.5035,10.92,01.01.2001
SVN,Slovenia,2001,1.99,6.2,23.24809,6.04,01.01.2001
SVK,Slovakia,2001,5.38,19.5,23.87163,11.67,01.01.2001
FIN,Finland,2001,5.19,9.1,144.437,59.2,01.01.2001
SWE,Sweden,2001,8.9,5.8,267.758,138.9,01.01.2001
GBR,United Kingdom,2001,59.12,5,1801.932,637,01.01.2001
BEL,Belgium,2002,10.33,7.5,275.065,288,01.01.2002
BGR,Bulgaria,2002,7.84,18.2,17.34354,8.89,01.01.2002
CZE,Czech Republic,2002,10.2,7.3,86.8286,21.96,01.01.2002
DNK,Denmark,2002,5.38,4.6,189.7945,93.2,01.01.2002
DEU,Germany,2002,82.49,8.6,2209.29,1312.4,01.01.2002
EST,Estonia,2002,1.38,11.2,7.77384,0.443,01.01.2002
IRL,Ireland,2002,3.93,4.5,135.9505,41.5,01.01.2002
GRC,Greece,2002,10.9,10.3,163.4608,171.4,01.01.2002
ESP,Spain,2002,41.43,11.5,749.288,384.1,01.01.2002
FRA,France,2002,61.64,7.9,1594.259,956.8,01.01.2002
HRV,Croatia,2002,4.31,15.3,28.54171,10.36,01.01.2002
ITA,Italy,2002,57.06,8.5,1345.794,1371.7,01.01.2002
CYP,Cyprus,2002,0.71,3.5,12.08295,7.25,01.01.2002
